Any;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Antiguitat;Nombre_motos
2007;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Menys d'un any d'antiguitat;173
2007;10;Sant Martí;67;la Vila Olímpica del Poblenou;Menys d'un any d'antiguitat;187
2007;10;Sant Martí;68;el Poblenou;Menys d'un any d'antiguitat;264
2007;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Menys d'un any d'antiguitat;139
2007;10;Sant Martí;70;el Besòs i el Maresme;Menys d'un any d'antiguitat;107
2007;10;Sant Martí;71;Provençals del Poblenou;Menys d'un any d'antiguitat;182
2007;10;Sant Martí;72;Sant Martí de Provençals;Menys d'un any d'antiguitat;203
2007;10;Sant Martí;73;la Verneda i la Pau;Menys d'un any d'antiguitat;225
2007;99;No consta;99;No consta;Menys d'un any d'antiguitat;10
2007;1;Ciutat Vella;1;el Raval;1 any;211
2007;1;Ciutat Vella;2;el Barri Gòtic;1 any;285
2007;1;Ciutat Vella;3;la Barceloneta;1 any;152
2007;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;1 any;192
2007;2;Eixample;5;el Fort Pienc;1 any;386
2007;2;Eixample;6;la Sagrada Família;1 any;559
2007;2;Eixample;7;la Dreta de l'Eixample;1 any;700
2007;2;Eixample;8;l'Antiga Esquerra de l'Eixample;1 any;657
2007;2;Eixample;9;la Nova Esquerra de l'Eixample;1 any;736
2007;2;Eixample;10;Sant Antoni;1 any;361
2007;3;Sants-Montjuïc;11;el Poble Sec;1 any;347
2007;3;Sants-Montjuïc;12;la Marina del Prat Vermell;1 any;44
2007;3;Sants-Montjuïc;13;la Marina de Port;1 any;297
2007;3;Sants-Montjuïc;14;la Font de la Guatlla;1 any;103
2007;3;Sants-Montjuïc;15;Hostafrancs;1 any;132
2007;3;Sants-Montjuïc;16;la Bordeta;1 any;166
2007;3;Sants-Montjuïc;17;Sants - Badal;1 any;236
2007;3;Sants-Montjuïc;18;Sants;1 any;409
2007;4;Les Corts;19;les Corts;1 any;712
2007;4;Les Corts;20;la Maternitat i Sant Ramon;1 any;382
2007;4;Les Corts;21;Pedralbes;1 any;233
2007;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;1 any;53
2007;5;Sarrià-Sant Gervasi;23;Sarrià;1 any;386
2007;5;Sarrià-Sant Gervasi;24;les Tres Torres;1 any;348
2007;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;1 any;502
2007;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;1 any;984
2007;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;1 any;494
2007;6;Gràcia;28;Vallcarca i els Penitents;1 any;232
2007;6;Gràcia;29;el Coll;1 any;100
2007;6;Gràcia;30;la Salut;1 any;214
2007;6;Gràcia;31;la Vila de Gràcia;1 any;659
2007;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;1 any;434
2007;7;Horta-Guinardó;33;el Baix Guinardó;1 any;316
2007;7;Horta-Guinardó;34;Can Baró;1 any;134
2007;7;Horta-Guinardó;35;el Guinardó;1 any;414
2007;7;Horta-Guinardó;36;la Font d'en Fargues;1 any;137
2007;7;Horta-Guinardó;37;el Carmel;1 any;365
2007;7;Horta-Guinardó;38;la Teixonera;1 any;118
2007;7;Horta-Guinardó;39;Sant Genís dels Agudells;1 any;61
2007;7;Horta-Guinardó;40;Montbau;1 any;51
2007;7;Horta-Guinardó;41;la Vall d'Hebron;1 any;60
2007;7;Horta-Guinardó;42;la Clota;1 any;5
2007;7;Horta-Guinardó;43;Horta;1 any;295
2007;8;Nou Barris;44;Vilapicina i la Torre Llobeta;1 any;248
2007;8;Nou Barris;45;Porta;1 any;152
2007;8;Nou Barris;46;el Turó de la Peira;1 any;95
2007;8;Nou Barris;47;Can Peguera;1 any;19
2007;8;Nou Barris;48;la Guineueta;1 any;136
2007;8;Nou Barris;49;Canyelles;1 any;44
2007;8;Nou Barris;50;les Roquetes;1 any;101
2007;8;Nou Barris;51;Verdun;1 any;86
2007;8;Nou Barris;52;la Prosperitat;1 any;210
2007;8;Nou Barris;53;la Trinitat Nova;1 any;44
2007;8;Nou Barris;54;Torre Baró;1 any;12
2007;8;Nou Barris;55;Ciutat Meridiana;1 any;47
2007;8;Nou Barris;56;Vallbona;1 any;12
2007;9;Sant Andreu;57;la Trinitat Vella;1 any;53
2007;9;Sant Andreu;58;Baró de Viver;1 any;22
2007;9;Sant Andreu;59;el Bon Pastor;1 any;106
2007;9;Sant Andreu;60;Sant Andreu;1 any;537
2007;9;Sant Andreu;61;la Sagrera;1 any;265
2007;9;Sant Andreu;62;el Congrés i els Indians;1 any;125
2007;9;Sant Andreu;63;Navas;1 any;229
2007;10;Sant Martí;64;el Camp de l'Arpa del Clot;1 any;409
2007;10;Sant Martí;65;el Clot;1 any;262
2007;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;1 any;183
2007;10;Sant Martí;67;la Vila Olímpica del Poblenou;1 any;113
2007;10;Sant Martí;68;el Poblenou;1 any;268
2007;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;1 any;144
2007;10;Sant Martí;70;el Besòs i el Maresme;1 any;112
2007;10;Sant Martí;71;Provençals del Poblenou;1 any;169
2007;10;Sant Martí;72;Sant Martí de Provençals;1 any;259
2007;10;Sant Martí;73;la Verneda i la Pau;1 any;206
2007;99;No consta;99;No consta;1 any;20
2007;1;Ciutat Vella;1;el Raval;2 anys;205
2007;1;Ciutat Vella;2;el Barri Gòtic;2 anys;296
2007;1;Ciutat Vella;3;la Barceloneta;2 anys;138
2007;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;2 anys;171
2007;2;Eixample;5;el Fort Pienc;2 anys;306
2007;2;Eixample;6;la Sagrada Família;2 anys;512
2007;2;Eixample;7;la Dreta de l'Eixample;2 anys;647
2007;2;Eixample;8;l'Antiga Esquerra de l'Eixample;2 anys;528
2007;2;Eixample;9;la Nova Esquerra de l'Eixample;2 anys;649
2007;2;Eixample;10;Sant Antoni;2 anys;345
2007;3;Sants-Montjuïc;11;el Poble Sec;2 anys;302
2007;3;Sants-Montjuïc;12;la Marina del Prat Vermell;2 anys;46
2007;3;Sants-Montjuïc;13;la Marina de Port;2 anys;280
2007;3;Sants-Montjuïc;14;la Font de la Guatlla;2 anys;88
2007;3;Sants-Montjuïc;15;Hostafrancs;2 anys;126
